Rank,Country,Country Code,Gold,Silver,Bronze,Total,Gold_Percentage,Silver_Percentage,Bronze_Percentage
1,United States,US,40,44,42,126,31.746031746031743,34.92063492063492,33.33333333333333
2,China,CHN,40,27,24,91,43.956043956043956,29.67032967032967,26.373626373626376
3,Japan,JPN,20,12,13,45,44.44444444444444,26.666666666666668,28.888888888888886
4,Australia,AUS,18,19,16,53,33.9622641509434,35.84905660377358,30.18867924528302
5,France,FRA,16,26,22,64,25.0,40.625,34.375
6,Netherlands,NED,15,7,12,34,44.11764705882353,20.588235294117645,35.294117647058826
7,Great Britain,GBG,14,22,29,65,21.53846153846154,33.84615384615385,44.61538461538462
8,South Korea,KOR,13,9,10,32,40.625,28.125,31.25
9,Italy,ITA,12,13,15,40,30.0,32.5,37.5
10,Germany,GER,12,13,8,33,36.36363636363637,39.39393939393939,24.242424242424242
11,New Zealand,NZ,10,7,3,20,50.0,35.0,15.0
12,Canada,CAN,9,7,11,27,33.33333333333333,25.925925925925924,40.74074074074074
13,Uzbekistan,UZB,8,2,3,13,61.53846153846154,15.384615384615385,23.076923076923077
14,Hungary,HUN,6,7,6,19,31.57894736842105,36.84210526315789,31.57894736842105
15,Spain,SPA,5,4,9,18,27.77777777777778,22.22222222222222,50.0
16,Sweden,SWE,4,4,3,11,36.36363636363637,36.36363636363637,27.27272727272727
17,Kenya,KEN,4,2,5,11,36.36363636363637,18.181818181818183,45.45454545454545
18,Norway,NOR,4,1,3,8,50.0,12.5,37.5
19,Ireland,IRE,4,0,3,7,57.14285714285714,0.0,42.857142857142854
20,Brazil,BRZ,3,7,10,20,15.0,35.0,50.0
21,Iran,IRN,3,6,3,12,25.0,50.0,25.0
22,Ukraine,UKR,3,5,4,12,25.0,41.66666666666667,33.33333333333333
23,Romania,ROM,3,4,2,9,33.33333333333333,44.44444444444444,22.22222222222222
24,Georgia,GEO,3,3,1,7,42.857142857142854,42.857142857142854,14.285714285714285
25,Belgium,BEL,3,1,6,10,30.0,10.0,60.0
26,Bulgaria,BUL,3,1,3,7,42.857142857142854,14.285714285714285,42.857142857142854
27,Serbia,SER,3,1,1,5,60.0,20.0,20.0
28,Czech Republic,CZE,3,0,2,5,60.0,0.0,40.0
29,Denmark,DEN,2,2,5,9,22.22222222222222,22.22222222222222,55.55555555555556
30,Azerbaijan,AZE,2,2,3,7,28.57142857142857,28.57142857142857,42.857142857142854
30,Croatia,CRO,2,2,3,7,28.57142857142857,28.57142857142857,42.857142857142854
32,Cuba,CUB,2,1,6,9,22.22222222222222,11.11111111111111,66.66666666666666
33,Bahrain,BHR,2,1,1,4,50.0,25.0,25.0
34,Slovenia,SLO,2,1,0,3,66.66666666666666,33.33333333333333,0.0
35,Chinese Taipei,TPE,2,0,5,7,28.57142857142857,0.0,71.42857142857143
36,Austria,AUT,2,0,3,5,40.0,0.0,60.0
37,Hong Kong,HK,2,0,2,4,50.0,0.0,50.0
37,Philippines,PHI,2,0,2,4,50.0,0.0,50.0
39,Algeria,ALG,2,0,1,3,66.66666666666666,0.0,33.33333333333333
39,Indonesia,IDN,2,0,1,3,66.66666666666666,0.0,33.33333333333333
41,Israel,ISR,1,5,1,7,14.285714285714285,71.42857142857143,14.285714285714285
42,Poland,POL,1,4,5,10,10.0,40.0,50.0
43,Kazakhstan,KAZ,1,3,3,7,14.285714285714285,42.857142857142854,42.857142857142854
44,Jamaica,JAM,1,3,2,6,16.666666666666664,50.0,33.33333333333333
44,South Africa,SA,1,3,2,6,16.666666666666664,50.0,33.33333333333333
44,Thailand,THA,1,3,2,6,16.666666666666664,50.0,33.33333333333333
47,Ethiopia,ETH,1,3,0,4,25.0,75.0,0.0
48,Switzerland,SWI,1,2,5,8,12.5,25.0,62.5
49,Ecuador,ECU,1,2,2,5,20.0,40.0,40.0
50,Portugal,POR,1,2,1,4,25.0,50.0,25.0
51,Greece,GRE,1,1,6,8,12.5,12.5,75.0
52,Argentina,ARG,1,1,1,3,33.33333333333333,33.33333333333333,33.33333333333333
52,Egypt,EGY,1,1,1,3,33.33333333333333,33.33333333333333,33.33333333333333
52,Tunisia,TUN,1,1,1,3,33.33333333333333,33.33333333333333,33.33333333333333
55,Botswana,BOT,1,1,0,2,50.0,50.0,0.0
55,Chile,CHI,1,1,0,2,50.0,50.0,0.0
55,St Lucia,LCA,1,1,0,2,50.0,50.0,0.0
55,Uganda,UGA,1,1,0,2,50.0,50.0,0.0
59,Dominican Republic,DOM,1,0,2,3,33.33333333333333,0.0,66.66666666666666
60,Guatemala,GUA,1,0,1,2,50.0,0.0,50.0
60,Morocco,MOR,1,0,1,2,50.0,0.0,50.0
62,Dominica,DMA,1,0,0,1,100.0,0.0,0.0
62,Pakistan,PKN,1,0,0,1,100.0,0.0,0.0
64,Turkey,TUR,0,3,5,8,0.0,37.5,62.5
65,Mexico,MEX,0,3,2,5,0.0,60.0,40.0
66,Armenia,ARM,0,3,1,4,0.0,75.0,25.0
66,Colombia,COL,0,3,1,4,0.0,75.0,25.0
68,North Korea,PRK,0,2,4,6,0.0,33.33333333333333,66.66666666666666
68,Kyrgyzstan,KGZ,0,2,4,6,0.0,33.33333333333333,66.66666666666666
70,Lithuania,LTU,0,2,2,4,0.0,50.0,50.0
71,India,IND,0,1,5,6,0.0,16.666666666666664,83.33333333333334
72,Moldova,MDA,0,1,3,4,0.0,25.0,75.0
73,Kosovo,KOS,0,1,1,2,0.0,50.0,50.0
74,Cyprus,CYP,0,1,0,1,0.0,100.0,0.0
74,Fiji,FIJ,0,1,0,1,0.0,100.0,0.0
74,Jordan,JOR,0,1,0,1,0.0,100.0,0.0
